Day,Weight_kg,Calories_Intake,Protein_Intake_g,Workout_Duration_min,Steps_Walked
2025-07-04,69.3,2404,160,95,5432
2025-07-05,72.1,2769,129,118,2688
2025-07-06,71.4,3425,144,54,6243
2025-07-07,69.8,2821,167,20,5701
2025-07-08,67.5,2217,57,59,10533
2025-07-09,65.5,1914,153,83,7182
2025-07-10,68.7,2416,74,41,11916
2025-07-11,72.6,3019,145,79,8704
2025-07-12,70.6,2625,142,83,6422
2025-07-13,66.3,3324,110,112,11984
2025-07-14,70.5,3449,171,91,3759
2025-07-15,71.2,3316,100,30,13404
2025-07-16,67.3,2898,70,33,11181
2025-07-17,70.5,2212,54,79,12454
2025-07-18,70.2,3199,141,49,4482
2025-07-19,66.6,3243,110,54,10058
