Vehicle_ID,Make,Model,Year,Region,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Max_Speed_kmh,Acceleration_0_100_kmh_sec,Temperature_C,Usage_Type,CO2_Saved_tons,Maintenance_Cost_USD,Insurance_Cost_USD,Electricity_Cost_USD_per_kWh,Monthly_Charging_Cost_USD,Resale_Value_USD
21,Volkswagen,ID.4,2021,Australia,Truck,56.4,94.3,316,218.2,0.28,1729,12.07,115627,85.9,194,3.96,9.8,Fleet,13.88,853,1471,0.32,372.16,16374
22,Nissan,Ariya,2016,Asia,Sedan,38.5,87.3,156,122.3,0.38,1348,22.91,232897,32.1,181,3.75,5.2,Commercial,27.95,1202,943,0.17,755.89,13761
23,BMW,i4,2022,North America,Truck,99.3,76.5,520,31.4,4.44,1083,17.35,216810,74.6,181,4.36,38.5,Fleet,26.02,1329,2193,0.09,282.12,26823
24,Audi,e-tron,2022,Asia,SUV,54.4,83.2,226,17.1,3.38,990,17.57,105235,58.6,187,9.45,12.1,Personal,12.63,1319,2161,0.11,169.49,19443
25,BMW,iX,2023,North America,Truck,89.4,78.4,528,187.4,0.57,989,21.49,209738,47.3,145,4.53,-4.0,Commercial,25.17,1508,2497,0.1,375.61,24039
26,Nissan,Ariya,2015,Asia,SUV,58.0,99.4,252,15.1,4.31,540,18.16,198824,62.5,230,6.09,20.8,Personal,23.86,1323,1301,0.15,451.33,15573
27,Mercedes,EQC,2024,North America,Hatchback,86.3,85.1,493,168.4,0.69,991,24.27,167049,31.9,161,9.61,18.8,Personal,20.05,889,2198,0.25,844.64,28123
28,BMW,i3,2015,Australia,SUV,103.0,94.6,540,207.1,0.58,1266,14.55,113940,45.0,175,3.62,-5.3,Commercial,13.67,234,1226,0.1,138.15,26922
29,Mercedes,EQS,2022,Europe,SUV,64.7,90.4,302,73.3,1.07,1025,21.06,162164,95.6,249,8.28,30.2,Fleet,19.46,960,1175,0.13,369.98,20993
30,Volkswagen,ID.4,2023,Australia,Hatchback,81.2,87.3,443,41.5,2.57,295,16.43,143429,69.3,141,6.29,27.5,Personal,17.21,416,1366,0.11,216.02,24270
31,Hyundai,Kona Electric,2015,Asia,Sedan,78.1,84.9,373,82.1,1.31,1835,12.14,209008,89.3,138,5.58,37.5,Fleet,25.08,1607,2087,0.23,486.33,22157
32,Hyundai,Kona Electric,2019,North America,Sedan,38.3,88.1,195,61.8,0.66,1367,22.27,89076,95.2,187,3.87,17.5,Fleet,10.69,1356,1686,0.32,528.99,16829
33,Tesla,Model 3,2016,North America,Sedan,117.2,90.6,664,218.2,0.59,1397,21.11,44081,57.8,156,8.09,-5.9,Commercial,5.29,1388,1945,0.35,271.41,26520
34,Audi,e-tron,2015,Asia,Hatchback,109.2,77.1,635,152.5,0.91,1475,13.09,208196,56.5,168,6.26,35.3,Personal,24.98,238,1649,0.21,476.92,28257
35,BMW,iX,2016,Australia,SUV,72.2,71.7,305,39.1,2.14,1224,20.85,85219,97.4,192,6.61,-5.9,Commercial,10.23,1128,1433,0.2,296.14,20274
36,Hyundai,Kona Electric,2024,North America,Hatchback,31.1,99.1,127,224.0,0.17,402,23.95,96362,78.7,186,6.9,21.5,Commercial,11.56,1749,1666,0.2,384.64,16189
37,Volkswagen,ID.4,2019,North America,Sedan,92.7,81.5,507,229.7,0.43,983,23.57,130899,37.5,246,5.3,-0.6,Personal,15.71,289,2171,0.18,462.79,25838
38,Ford,Mustang Mach-E,2016,Europe,SUV,53.9,80.8,243,119.3,0.64,1424,16.02,62043,72.2,241,4.56,35.5,Personal,7.45,1476,889,0.34,281.61,17673
39,Chevrolet,Bolt EV,2019,Australia,SUV,85.2,82.5,499,218.0,0.55,1342,17.35,66813,86.7,225,9.9,8.8,Commercial,8.02,1505,562,0.19,183.54,24829
40,Hyundai,Kona Electric,2015,Australia,Sedan,105.4,84.1,509,76.3,1.93,717,20.99,196172,100.0,231,9.44,19.3,Personal,23.54,1788,1176,0.28,960.79,28422
41,Audi,e-tron,2017,North America,SUV,52.3,83.5,222,239.0,0.26,1669,23.42,181615,73.3,221,5.25,-8.9,Personal,21.79,449,1173,0.21,744.35,16789
42,Chevrolet,Bolt EUV,2017,Europe,Hatchback,76.8,95.6,391,145.1,0.58,600,13.74,155830,59.4,230,7.53,25.2,Personal,18.7,634,602,0.12,214.11,19708
43,Volkswagen,ID.3,2016,Australia,Truck,61.6,87.7,294,115.6,0.58,1531,19.12,192872,84.9,159,7.54,33.1,Commercial,23.14,332,1296,0.12,368.77,17156
44,Volkswagen,ID.4,2022,Europe,SUV,105.8,93.1,437,22.0,5.62,1673,16.27,172658,70.6,204,3.99,-3.6,Commercial,20.72,1406,1347,0.12,280.91,28443
45,Tesla,Model S,2020,Asia,Sedan,92.8,75.4,500,109.4,0.92,866,20.68,80697,72.1,180,3.77,-1.6,Personal,9.68,803,1181,0.13,180.79,27845
46,Chevrolet,Bolt EV,2019,North America,Sedan,79.4,86.0,374,224.7,0.48,1953,20.98,28624,36.5,176,7.58,-5.9,Personal,3.43,549,606,0.33,165.15,20441
47,Mercedes,EQC,2015,Europe,Hatchback,54.9,94.2,301,55.1,1.32,838,24.01,144789,73.3,216,6.95,26.0,Personal,17.37,865,1025,0.12,347.64,17646
48,Hyundai,Kona Electric,2017,North America,Hatchback,94.2,96.9,473,138.2,0.94,1729,16.6,39674,47.0,218,8.29,-0.9,Fleet,4.76,1262,2476,0.31,170.14,26621
49,Mercedes,EQS,2020,Asia,SUV,59.5,73.6,343,152.9,0.45,266,20.43,129049,36.1,240,8.29,17.9,Fleet,15.49,1592,1247,0.11,241.68,22267
50,Ford,Mustang Mach-E,2023,Asia,Hatchback,60.4,97.0,314,69.4,1.06,1964,24.14,121148,37.1,199,5.87,14.4,Personal,14.54,1573,1342,0.1,243.71,23582
51,Kia,Niro EV,2022,Asia,Sedan,110.7,72.4,558,109.1,1.07,1446,23.66,46427,97.9,133,3.53,38.8,Personal,5.57,1829,1003,0.28,256.31,31394
52,Mercedes,EQC,2023,North America,SUV,94.7,86.1,469,211.4,0.6,1633,16.21,96922,44.0,149,5.08,-4.3,Fleet,11.63,289,1153,0.16,209.48,27112
53,BMW,i4,2019,North America,SUV,75.5,98.0,350,152.9,0.62,209,19.13,145937,99.3,142,7.95,-5.6,Commercial,17.51,1542,2136,0.08,186.12,21434
54,BMW,i4,2023,Asia,Sedan,83.6,84.1,403,94.4,0.95,517,21.7,47929,38.7,249,9.94,0.3,Fleet,5.75,1770,1012,0.28,242.68,27263
55,Kia,EV6,2020,Europe,Truck,34.3,93.4,193,190.4,0.2,1514,14.14,155354,76.6,155,9.4,5.8,Personal,18.64,1265,588,0.26,475.95,12236
56,Audi,e-tron,2022,Asia,Truck,69.5,81.3,342,83.0,0.94,342,19.51,72728,93.0,248,6.96,-6.7,Fleet,8.73,303,2470,0.23,271.96,21125
57,Ford,Mustang Mach-E,2020,Asia,Hatchback,114.6,88.8,535,44.3,2.88,1892,18.44,30053,92.6,165,9.99,27.6,Commercial,3.61,1220,1496,0.29,133.93,27836
58,Nissan,Ariya,2015,Asia,Sedan,33.0,87.1,182,220.5,0.19,1005,18.97,165558,89.3,217,7.43,15.1,Personal,19.87,1871,1784,0.21,549.61,11332
59,BMW,iX,2018,Asia,SUV,95.0,91.6,501,176.9,0.64,1506,16.49,82834,97.1,233,7.29,10.0,Fleet,9.94,1014,845,0.34,387.01,26119
60,Audi,Q4 e-tron,2024,North America,Sedan,82.8,85.2,432,15.3,5.89,1683,13.33,216951,78.8,249,3.65,22.6,Personal,26.03,1208,1103,0.18,433.79,28720
61,BMW,iX,2023,North America,Truck,68.2,92.1,400,232.2,0.36,1013,15.07,237793,88.7,183,8.94,6.6,Fleet,28.54,766,870,0.24,716.71,24166
62,BMW,i4,2019,Europe,Sedan,64.1,92.3,282,199.3,0.38,774,17.39,236001,94.4,131,6.53,14.0,Commercial,28.32,546,2052,0.24,820.81,19807
63,Tesla,Model X,2017,Europe,SUV,52.3,87.3,226,19.1,3.52,484,19.55,9757,45.4,243,7.81,-1.1,Fleet,1.17,1307,1884,0.12,19.07,14302
64,Ford,F-150 Lightning,2020,Europe,SUV,107.5,86.1,469,82.6,1.67,1189,21.75,29442,86.0,191,4.83,-0.5,Personal,3.53,628,2000,0.21,112.06,27450
65,Volkswagen,ID.3,2022,Europe,Truck,82.9,78.8,449,137.1,0.73,1336,17.21,43565,83.6,133,4.68,33.1,Commercial,5.23,1866,1299,0.15,93.72,27567
66,Hyundai,Ioniq 5,2017,Europe,Sedan,88.0,82.3,356,48.3,2.07,1572,17.3,115904,45.5,217,4.77,15.3,Commercial,13.91,527,1577,0.17,284.06,20917
67,Chevrolet,Bolt EV,2019,Europe,Hatchback,46.1,89.6,206,34.8,1.74,1301,19.84,118453,88.1,197,9.64,-2.9,Commercial,14.21,1109,1234,0.17,332.93,15720
68,Hyundai,Kona Electric,2016,North America,SUV,31.2,72.6,137,17.3,2.42,1771,20.36,123865,92.5,176,7.56,6.8,Commercial,14.86,1222,1909,0.18,378.28,11429
69,Kia,EV6,2021,Asia,Truck,54.1,88.7,260,142.9,0.47,1139,14.85,245469,84.6,210,9.15,14.4,Fleet,29.46,1950,627,0.13,394.9,19993
70,Volkswagen,ID.4,2016,North America,Sedan,32.0,78.1,162,162.4,0.26,1981,20.39,56693,98.9,187,9.35,24.6,Commercial,6.8,1004,574,0.3,288.99,10362
71,Mercedes,EQS,2019,North America,Sedan,103.4,84.9,427,107.9,1.16,787,14.68,45809,39.8,156,9.35,33.7,Fleet,5.5,367,1109,0.24,134.5,28239
72,Ford,F-150 Lightning,2023,Australia,Sedan,74.5,87.2,422,107.6,0.78,1781,12.61,106371,97.1,194,4.04,20.2,Commercial,12.76,993,528,0.19,212.38,25623
73,Hyundai,Ioniq 5,2022,North America,Hatchback,69.3,97.5,377,156.9,0.47,254,20.63,9853,39.5,185,4.9,-8.4,Personal,1.18,1371,1990,0.24,40.65,23619
74,Audi,e-tron,2015,Asia,Hatchback,74.7,87.9,348,195.2,0.53,912,16.57,59912,64.7,172,7.39,13.0,Personal,7.19,330,2021,0.3,248.19,22381
75,Ford,F-150 Lightning,2017,North America,Truck,54.5,87.7,257,32.9,1.78,1156,22.27,41408,61.2,176,4.06,37.9,Fleet,4.97,538,2299,0.25,192.12,16433
76,Volkswagen,ID.4,2015,Australia,Truck,89.3,90.8,508,70.7,1.54,1878,21.01,95600,96.1,176,3.79,19.4,Fleet,11.47,600,2442,0.23,384.97,20902
77,Hyundai,Ioniq 5,2020,Australia,SUV,112.4,71.0,606,82.1,1.47,1721,17.48,235876,63.2,223,3.86,12.8,Fleet,28.31,1666,2013,0.25,858.98,31642
78,Kia,Niro EV,2022,North America,Truck,50.7,73.6,210,177.4,0.36,382,17.26,177070,52.1,242,7.0,23.1,Commercial,21.25,1620,1221,0.22,560.31,17361
79,Volkswagen,ID.4,2024,Australia,Hatchback,108.9,82.5,536,247.7,0.63,1364,16.99,149991,85.9,168,3.56,-7.4,Commercial,18.0,676,817,0.21,445.96,33814
80,Hyundai,Ioniq 5,2023,Europe,Sedan,82.3,78.2,394,32.9,3.19,539,21.59,37733,30.2,174,5.81,4.4,Commercial,4.53,523,645,0.14,95.04,26682
81,Mercedes,EQS,2023,North America,SUV,55.0,97.3,224,37.2,1.85,1163,14.84,48001,85.9,230,4.08,10.9,Fleet,5.76,1663,1842,0.34,201.83,19542
82,Hyundai,Kona Electric,2016,Europe,Sedan,45.0,99.7,200,236.3,0.22,1084,22.8,170229,46.1,227,6.0,-8.2,Personal,20.43,705,758,0.3,970.31,13505
83,Chevrolet,Bolt EV,2019,Australia,Hatchback,35.2,99.1,203,232.7,0.16,1796,15.38,220458,83.1,191,9.98,34.9,Fleet,26.45,1962,1280,0.14,395.58,15755
84,Hyundai,Ioniq 5,2023,Australia,Hatchback,83.4,87.4,348,220.7,0.49,1187,18.2,22602,96.9,205,3.73,6.5,Personal,2.71,1760,1784,0.28,95.98,23888
85,Tesla,Model S,2016,Australia,SUV,66.8,81.2,301,183.9,0.44,653,24.51,145975,77.8,198,9.94,-6.9,Personal,17.52,1524,723,0.22,655.94,21560
86,Audi,Q4 e-tron,2017,North America,SUV,104.2,80.4,558,146.2,0.93,1485,18.78,24623,47.2,188,9.14,25.4,Personal,2.95,562,1056,0.27,104.04,27579
87,BMW,i4,2024,Asia,Hatchback,39.5,91.0,172,221.7,0.19,960,12.38,52638,30.4,161,5.68,27.2,Fleet,6.32,281,855,0.23,124.9,20292
88,Audi,Q4 e-tron,2021,Australia,SUV,47.4,72.5,220,144.8,0.45,1065,20.24,36575,87.3,241,4.2,28.1,Fleet,4.39,785,1756,0.34,209.75,18368
89,Chevrolet,Bolt EUV,2019,Europe,Truck,39.2,98.1,210,27.2,1.86,1240,22.02,68888,70.8,194,3.88,-6.3,Fleet,8.27,409,805,0.35,442.43,15809
90,Hyundai,Ioniq 5,2018,Australia,Sedan,88.3,87.8,420,26.7,3.65,1078,18.35,98106,47.7,216,6.4,3.7,Fleet,11.77,1508,1015,0.2,300.04,23500
91,Hyundai,Ioniq 5,2023,Asia,Truck,44.7,93.8,240,63.8,0.97,1173,14.99,213330,49.1,210,9.76,-8.4,Fleet,25.6,1188,520,0.33,879.4,15600
92,BMW,i3,2019,Europe,Hatchback,87.5,81.9,397,246.2,0.44,1133,14.99,138052,44.0,242,7.74,8.4,Fleet,16.57,1494,991,0.21,362.14,22751
93,Hyundai,Kona Electric,2022,Australia,Hatchback,44.3,76.1,185,47.7,1.14,1785,21.89,197860,39.2,182,9.43,38.4,Commercial,23.74,1115,2081,0.2,721.86,18805
94,Chevrolet,Bolt EUV,2021,North America,SUV,41.3,90.6,200,58.9,0.85,925,19.57,54268,71.3,201,5.52,12.8,Commercial,6.51,271,2312,0.1,88.5,16450
95,Mercedes,EQC,2016,Australia,Hatchback,73.2,88.0,335,177.1,0.45,301,23.8,186002,63.6,217,4.45,-4.9,Personal,22.32,1269,2195,0.08,295.12,20021
96,Kia,Niro EV,2020,Australia,SUV,85.6,91.1,438,13.3,8.23,201,18.95,117360,54.5,162,8.86,7.9,Commercial,14.08,1326,693,0.34,630.13,23417
97,Kia,Niro EV,2024,Australia,Sedan,92.1,94.0,405,51.0,2.49,516,21.18,137997,71.6,202,3.84,17.1,Commercial,16.56,1593,1215,0.32,779.41,27673
98,Volkswagen,ID.3,2016,Australia,SUV,86.3,93.5,450,126.8,0.79,407,19.12,164033,84.9,132,3.76,-1.8,Fleet,19.68,213,1470,0.28,731.81,24135
99,Tesla,Model Y,2021,North America,Sedan,88.5,84.4,462,89.6,1.21,884,14.37,115198,60.4,161,6.74,17.8,Fleet,13.82,1113,2246,0.14,193.13,26211
100,BMW,i4,2022,Europe,Sedan,117.7,89.5,517,173.6,0.94,1430,15.35,166099,42.2,214,8.23,27.1,Commercial,19.93,603,1304,0.17,361.2,32145
101,Ford,Mustang Mach-E,2018,Australia,Truck,75.4,86.3,379,151.5,0.7,1065,18.33,48585,71.8,165,6.24,3.8,Commercial,5.83,1594,685,0.33,244.9,21685
102,Kia,Niro EV,2017,Asia,Sedan,86.1,88.9,470,42.4,2.31,951,19.82,147633,46.6,207,6.83,10.7,Commercial,17.72,1204,1052,0.15,365.76,20378
103,Audi,e-tron,2022,Asia,SUV,82.1,89.9,344,166.9,0.63,227,15.36,244614,71.2,205,4.35,38.5,Fleet,29.35,1526,786,0.14,438.35,22482
104,Tesla,Model S,2017,Europe,SUV,69.8,79.9,341,171.0,0.55,332,15.23,84530,96.4,186,4.59,-1.6,Personal,10.14,1344,1630,0.28,300.39,22049
105,BMW,i3,2019,Europe,Hatchback,78.0,93.5,422,117.7,0.72,819,19.02,39707,48.9,131,4.3,1.6,Fleet,4.76,481,1296,0.25,157.34,20537
106,Mercedes,EQC,2017,Australia,Truck,70.7,98.0,327,132.2,0.75,689,17.17,171129,97.6,172,3.61,6.2,Commercial,20.54,1408,1562,0.2,489.71,18514
107,Mercedes,EQC,2016,Europe,Truck,60.8,86.0,258,42.7,1.93,945,21.53,126863,97.9,130,8.25,-2.2,Personal,15.22,1581,1016,0.34,773.89,19400
108,Tesla,Model X,2016,Australia,Hatchback,89.5,99.4,424,15.2,7.74,1761,23.3,233071,83.8,220,9.55,24.5,Fleet,27.97,1000,1524,0.14,633.56,22024
109,Nissan,Leaf,2019,North America,Truck,90.0,87.3,422,49.1,2.15,774,24.7,209456,99.5,142,8.59,18.4,Fleet,25.13,688,1470,0.32,1379.62,26918
110,Nissan,Leaf,2020,Asia,Hatchback,59.4,90.0,333,193.2,0.34,1050,23.3,8712,38.4,183,7.72,6.4,Fleet,1.05,1288,1599,0.24,40.6,19415
111,Nissan,Ariya,2019,North America,Hatchback,64.2,86.5,333,141.4,0.56,301,12.95,241386,41.8,207,7.53,13.2,Commercial,28.97,1226,584,0.31,807.54,17704
112,Volkswagen,ID.4,2016,Australia,SUV,73.1,70.8,342,101.9,0.9,1516,15.2,51819,72.6,177,7.07,27.3,Commercial,6.22,563,1390,0.22,144.4,18562
113,Audi,Q4 e-tron,2019,Australia,Hatchback,47.6,70.2,252,225.6,0.28,914,16.94,50379,95.4,215,4.76,-1.7,Commercial,6.05,1163,1507,0.22,156.46,19508
114,Mercedes,EQS,2017,Asia,SUV,82.3,72.7,447,106.6,0.82,289,13.58,235662,77.7,203,8.7,-0.8,Personal,28.28,1158,811,0.29,773.4,21744
115,Chevrolet,Bolt EV,2024,Australia,Hatchback,112.6,82.7,470,206.0,0.69,1908,20.23,212738,30.2,151,8.82,34.2,Commercial,25.53,1249,1020,0.25,896.6,29255
116,Chevrolet,Bolt EUV,2022,Europe,Hatchback,67.0,95.2,388,95.5,0.92,1516,15.93,110111,87.6,189,7.86,30.5,Personal,13.21,1114,2199,0.12,175.41,21806
117,Kia,Niro EV,2021,Asia,Truck,82.8,75.0,453,217.2,0.51,861,12.31,21014,46.1,200,7.05,1.6,Fleet,2.52,789,1600,0.24,51.74,21643
118,Audi,e-tron,2023,North America,SUV,118.9,74.1,640,107.6,1.37,1390,21.42,60754,99.4,189,8.82,20.2,Fleet,7.29,1325,1053,0.32,347.03,33109
119,Chevrolet,Bolt EV,2018,Australia,Hatchback,37.7,96.8,165,88.3,0.56,624,20.02,121492,66.3,131,7.85,-6.5,Commercial,14.58,359,648,0.15,304.03,11181
120,Nissan,Ariya,2022,Europe,Hatchback,88.6,86.0,411,90.6,1.13,926,16.92,130541,69.0,227,6.4,6.7,Fleet,15.66,861,2335,0.1,184.06,25213
121,Kia,Niro EV,2019,Australia,Truck,45.8,90.7,201,139.1,0.45,832,22.68,73619,54.3,141,9.88,13.7,Commercial,8.83,1765,736,0.11,153.05,17668
122,Ford,F-150 Lightning,2017,Australia,Truck,43.7,99.8,255,140.0,0.34,348,13.21,126237,36.2,232,9.12,20.4,Commercial,15.15,659,2073,0.12,166.76,13799
123,Hyundai,Kona Electric,2018,Europe,Truck,57.3,77.9,270,31.9,1.92,1168,18.63,132810,57.8,152,9.63,33.7,Personal,15.94,461,1942,0.29,597.94,19349
124,BMW,i3,2020,Europe,Hatchback,81.0,81.7,405,105.9,0.92,1652,16.95,196703,67.3,207,8.74,29.5,Commercial,23.6,1147,2049,0.1,277.84,26635
125,Mercedes,EQS,2019,North America,SUV,32.1,74.6,142,239.8,0.16,465,22.69,79520,63.6,162,9.5,14.4,Commercial,9.54,1333,835,0.29,436.04,12283
126,Ford,Mustang Mach-E,2018,Asia,Sedan,75.2,82.0,322,98.8,1.06,1193,18.58,36822,97.4,189,8.55,-3.9,Fleet,4.42,291,2176,0.33,188.14,22915
127,BMW,i4,2018,North America,Sedan,69.6,73.2,367,62.6,1.3,1283,16.74,208038,34.3,212,4.75,0.6,Fleet,24.96,581,2302,0.28,812.6,19813
128,BMW,iX,2022,Australia,Sedan,56.8,82.9,246,28.8,2.2,1717,13.31,102359,78.4,226,6.81,39.8,Personal,12.28,984,600,0.25,283.83,21562
129,Kia,Niro EV,2018,Australia,Hatchback,45.6,89.7,259,184.1,0.28,1926,17.85,187268,54.8,156,6.19,31.4,Commercial,22.47,1964,1097,0.34,947.11,14130
130,Tesla,Model X,2021,Australia,Sedan,67.5,84.4,272,73.1,1.04,1646,20.05,65428,30.8,243,7.59,-0.1,Personal,7.85,372,1171,0.21,229.57,21782
131,Chevrolet,Bolt EV,2017,North America,SUV,53.9,89.4,269,74.6,0.98,709,13.95,133563,47.0,211,6.59,8.8,Personal,16.03,1659,2448,0.2,310.53,18390
132,Kia,EV6,2019,Europe,Sedan,116.1,74.0,488,168.4,0.74,1353,17.69,142244,49.6,243,3.75,35.1,Fleet,17.07,988,1807,0.25,524.23,30629
133,Mercedes,EQC,2016,Australia,Hatchback,64.8,83.5,288,223.6,0.36,1396,13.95,35111,99.2,216,7.92,-7.9,Commercial,4.21,1728,586,0.27,110.2,17895
134,Mercedes,EQS,2017,Asia,Sedan,36.4,70.4,215,187.3,0.25,565,24.89,206139,84.2,136,8.59,7.7,Fleet,24.74,641,1784,0.23,983.4,11092
135,Hyundai,Kona Electric,2020,Asia,Sedan,98.8,78.0,399,30.6,3.43,1446,22.17,132896,98.3,208,4.84,-3.9,Personal,15.95,1605,1335,0.29,712.02,26224
136,BMW,iX,2023,North America,SUV,116.4,84.3,674,88.0,1.81,1711,13.48,235156,70.8,224,6.88,20.8,Personal,28.22,1449,1022,0.09,237.74,32626
137,Chevrolet,Bolt EUV,2015,Asia,Sedan,113.5,76.7,538,114.3,1.23,1184,14.13,213883,46.8,214,7.89,14.8,Personal,25.67,312,1387,0.35,881.47,27060
138,Kia,Niro EV,2024,North America,SUV,103.4,95.8,588,230.6,0.59,1620,14.87,20997,88.9,233,7.13,-1.0,Commercial,2.52,1959,702,0.17,44.23,32300
139,Mercedes,EQC,2020,Australia,Sedan,118.6,98.1,484,50.4,3.21,662,13.19,184761,44.9,244,4.48,7.1,Fleet,22.17,477,2206,0.28,568.63,30061
140,BMW,i4,2015,Europe,Sedan,75.8,78.9,388,175.6,0.47,1590,23.4,106604,41.2,235,7.13,30.6,Personal,12.79,1484,1014,0.35,727.57,18519
141,Kia,Niro EV,2022,Australia,Sedan,47.5,96.4,252,85.3,0.63,501,20.01,161570,78.2,241,8.59,17.7,Commercial,19.39,797,733,0.29,781.31,20641
142,Kia,Niro EV,2020,Asia,Hatchback,104.9,70.3,576,192.3,0.63,1978,22.95,190413,91.4,230,4.31,9.3,Commercial,22.85,1355,1543,0.29,1056.08,26138
143,Mercedes,EQC,2020,Australia,Truck,83.4,81.7,402,177.3,0.67,237,14.17,197699,85.6,149,6.12,33.7,Fleet,23.72,1444,1025,0.28,653.66,23231
144,Tesla,Model S,2019,Europe,Sedan,82.2,86.8,420,155.2,0.61,793,19.83,196675,87.8,178,7.64,-2.6,Fleet,23.6,863,1632,0.28,910.02,22647
145,Mercedes,EQC,2024,Europe,Hatchback,93.7,93.7,471,116.2,1.09,382,21.56,81256,36.2,245,3.91,30.1,Fleet,9.75,1526,1470,0.28,408.77,30577
146,Chevrolet,Bolt EUV,2020,Europe,Hatchback,87.8,82.6,462,198.8,0.61,1933,24.88,121859,56.9,138,9.68,0.1,Fleet,14.62,699,2096,0.34,859.02,26088
147,Nissan,Ariya,2017,Asia,Hatchback,32.4,70.7,183,76.3,0.51,762,24.23,88369,89.7,155,9.17,32.1,Commercial,10.6,248,1416,0.2,356.86,12110
