"purchase_id","id","Age","Sex","Income","Purchase_Date","Region"
3599,198502,55,"M",541000,2022-11-01,"Пермский край"
4430,200446,56,"M",561000,2023-12-01,"Республика Татарстан"
1962,202340,45,"M",278000,2022-04-01,"Республика Татарстан"
2774,200810,52,"M",469000,2021-06-01,"Нижегородская область"
1601,198735,45,"M",240000,2021-08-01,"Нижегородская область"
351,199260,45,"M",347000,2021-06-01,"Республика Татарстан"
5224,200930,50,"M",240000,2022-02-01,"Нижегородская область"
5340,197686,59,"M",545000,2021-03-01,"Республика Татарстан"
5427,199775,34,"M",936000,2021-03-01,"Саратовская область"
4209,202279,49,"M",268000,2022-05-01,"Пермский край"
799,198725,46,"M",240000,2022-09-01,"Ульяновская область"
610,200849,40,"M",681000,2023-07-01,"Нижегородская область"
4383,199017,51,"M",888000,2021-05-01,"Республика Татарстан"
4016,201150,40,"F",240000,2021-03-01,"Самарская область"
177,200873,46,"F",742000,2022-04-01,"Республика Татарстан"
1123,199892,46,"M",382000,2023-11-01,"Республика Татарстан"
3708,198822,53,"F",240000,2021-11-01,"Республика Башкортостан"
901,202408,48,"M",762000,2021-12-01,"Нижегородская область"
3630,199873,52,"M",304000,2021-12-01,"Республика Мордовия"
3654,198263,53,"M",329000,2021-09-01,"Нижегородская область"
108,199691,44,"M",240000,2023-12-01,"Самарская область"
5223,198664,59,"M",492000,2023-10-01,"Самарская область"
5371,198174,55,"M",355000,2021-02-01,"Республика Татарстан"
3827,198926,48,"M",344000,2023-05-01,"Республика Башкортостан"
3230,202390,49,"M",240000,2021-02-01,"Удмуртская Республика"
4483,199111,54,"M",437000,2022-05-01,"Нижегородская область"
2721,198350,51,"M",312000,2021-07-01,"Республика Мордовия"
463,201167,41,"M",577000,2022-12-01,"Чувашская Республика"
3734,197675,60,"M",240000,2021-12-01,"Республика Татарстан"
989,200975,46,"M",465000,2023-08-01,"Республика Татарстан"
4758,200729,53,"M",240000,2021-09-01,"Республика Татарстан"
3036,199555,60,"M",453000,2021-02-01,"Саратовская область"
374,200980,49,"M",240000,2023-09-01,"Самарская область"
1148,198902,38,"M",1186000,2021-08-01,"Оренбургская область"
275,200348,54,"M",240000,2023-01-01,"Нижегородская область"
1973,198041,40,"M",240000,2022-04-01,"Удмуртская Республика"
5518,198558,39,"M",351000,2022-09-01,"Пермский край"
5185,200590,40,"M",671000,2023-01-01,"Республика Татарстан"
1483,198277,52,"M",364000,2023-10-01,"Кировская область"
1408,200614,59,"M",412000,2023-05-01,"Нижегородская область"
3759,201521,44,"M",257000,2021-07-01,"Оренбургская область"
2987,202212,50,"M",574000,2022-12-01,"Республика Башкортостан"
1690,200432,36,"M",563000,2021-05-01,"Республика Башкортостан"
1350,201697,59,"M",538000,2021-01-01,"Самарская область"
150,197667,37,"M",418000,2021-05-01,"Нижегородская область"
5411,197717,53,"M",333000,2022-06-01,"Саратовская область"
488,198135,51,"M",366000,2022-06-01,"Оренбургская область"
4202,201038,53,"M",379000,2022-02-01,"Республика Татарстан"
4634,197826,50,"F",418000,2023-11-01,"Самарская область"
5453,198471,56,"M",565000,2021-08-01,"Оренбургская область"
4971,200037,48,"M",319000,2023-06-01,"Республика Башкортостан"
4073,202114,50,"F",240000,2023-06-01,"Пермский край"
1600,201250,61,"M",290000,2021-07-01,"Саратовская область"
1434,201564,60,"M",376000,2022-05-01,"Республика Башкортостан"
905,201825,41,"M",550000,2022-01-01,"Республика Башкортостан"
53,199508,47,"M",454000,2023-10-01,"Самарская область"
489,198066,49,"M",268000,2023-03-01,"Республика Башкортостан"
1461,198474,52,"M",569000,2021-12-01,"Чувашская Республика"
4995,198871,58,"M",804000,2021-01-01,"Самарская область"
3269,197640,45,"M",240000,2022-05-01,"Республика Татарстан"
1247,202372,50,"M",299000,2023-02-01,"Республика Татарстан"
1702,201074,46,"M",317000,2023-07-01,"Ульяновская область"
4565,198953,58,"M",459000,2022-12-01,"Республика Башкортостан"
3846,200782,56,"M",402000,2021-05-01,"Ульяновская область"
4617,202251,50,"M",606000,2021-12-01,"Пензенская область"
3747,199008,55,"M",251000,2023-07-01,"Пермский край"
2863,199201,43,"M",341000,2021-12-01,"Республика Башкортостан"
1070,199085,42,"F",566000,2021-09-01,"Пензенская область"
1290,199042,46,"M",710000,2023-07-01,"Пермский край"
3180,197635,55,"M",240000,2022-10-01,"Республика Марий Эл"
5474,197968,51,"M",240000,2021-02-01,"Саратовская область"
2868,201342,58,"M",324000,2023-08-01,"Республика Татарстан"
850,198752,51,"M",5e+05,2021-12-01,"Пермский край"
3608,200763,53,"M",308000,2021-12-01,"Саратовская область"
3033,198454,55,"M",383000,2022-09-01,"Пермский край"
4306,201976,58,"F",319000,2022-07-01,"Кировская область"
3277,201338,55,"M",240000,2023-06-01,"Самарская область"
3675,198271,44,"M",602000,2021-06-01,"Самарская область"
1246,198924,59,"M",636000,2023-07-01,"Саратовская область"
759,199171,48,"F",508000,2023-08-01,"Пермский край"
4078,200568,50,"M",240000,2021-06-01,"Удмуртская Республика"
3418,199654,39,"M",240000,2022-07-01,"Республика Татарстан"
5207,199494,61,"M",240000,2023-12-01,"Республика Татарстан"
3487,201179,57,"M",297000,2022-08-01,"Самарская область"
525,201132,56,"M",831000,2021-09-01,"Республика Татарстан"
397,202194,49,"M",350000,2023-06-01,"Самарская область"
2381,199605,36,"M",240000,2022-10-01,"Самарская область"
5094,198864,52,"M",1161000,2023-08-01,"Нижегородская область"
1432,200477,40,"M",240000,2021-07-01,"Республика Татарстан"
3696,201469,60,"F",240000,2023-10-01,"Самарская область"
920,199649,52,"M",423000,2023-10-01,"Республика Башкортостан"
3559,202015,40,"M",457000,2021-01-01,"Республика Башкортостан"
5383,201016,39,"M",451000,2023-05-01,"Республика Татарстан"
2093,200361,37,"M",1096000,2023-03-01,"Пермский край"
5365,197520,45,"M",328000,2022-10-01,"Республика Татарстан"
4211,202227,57,"M",328000,2022-11-01,"Нижегородская область"
3977,200172,48,"M",418000,2023-02-01,"Самарская область"
5193,201400,56,"M",642000,2023-11-01,"Нижегородская область"
1741,201414,57,"M",240000,2022-09-01,"Республика Башкортостан"
3552,198335,51,"M",240000,2021-05-01,"Нижегородская область"
1489,202195,62,"M",555000,2021-02-01,"Республика Башкортостан"
2536,197916,58,"M",240000,2023-10-01,"Кировская область"
5080,197601,54,"M",302000,2023-02-01,"Самарская область"
4930,200481,48,"M",329000,2021-06-01,"Нижегородская область"
3084,201059,45,"M",317000,2023-10-01,"Саратовская область"
942,201957,59,"F",240000,2021-01-01,"Республика Мордовия"
2811,197836,48,"M",240000,2021-02-01,"Оренбургская область"
2038,201859,37,"M",871000,2022-11-01,"Республика Башкортостан"
5342,200439,62,"M",240000,2021-07-01,"Удмуртская Республика"
1265,198634,43,"M",547000,2023-05-01,"Нижегородская область"
175,202322,52,"M",656000,2023-09-01,"Пермский край"
4942,197939,53,"M",284000,2023-01-01,"Чувашская Республика"
4121,201221,39,"M",409000,2023-10-01,"Саратовская область"
4140,201946,44,"M",679000,2023-07-01,"Самарская область"
1751,200117,48,"M",595000,2021-09-01,"Удмуртская Республика"
1516,198949,57,"M",240000,2022-06-01,"Республика Татарстан"
773,198858,28,"M",444000,2021-12-01,"Самарская область"
2927,200061,46,"M",269000,2022-04-01,"Саратовская область"
2798,197872,37,"M",241000,2022-01-01,"Республика Башкортостан"
888,198764,47,"M",721000,2022-03-01,"Республика Башкортостан"
2376,201643,56,"M",342000,2022-09-01,"Республика Башкортостан"
4576,198220,47,"M",579000,2021-06-01,"Республика Татарстан"
3693,201758,46,"F",347000,2021-11-01,"Оренбургская область"
3756,201444,53,"M",293000,2021-05-01,"Пермский край"
4077,200451,51,"M",512000,2023-09-01,"Республика Татарстан"
3488,200044,41,"M",256000,2021-07-01,"Оренбургская область"
4348,200773,51,"M",266000,2022-08-01,"Самарская область"
1267,199904,49,"F",304000,2023-07-01,"Республика Башкортостан"
4984,201182,46,"M",429000,2022-03-01,"Республика Татарстан"
4273,198290,42,"M",353000,2023-07-01,"Нижегородская область"
3735,200295,42,"M",305000,2022-08-01,"Республика Татарстан"
1649,197664,43,"M",240000,2022-07-01,"Республика Башкортостан"
1173,197439,48,"M",498000,2022-12-01,"Самарская область"
4895,200426,48,"M",1076000,2021-07-01,"Республика Башкортостан"
3904,199004,50,"F",240000,2022-06-01,"Саратовская область"
2734,197662,49,"M",240000,2022-07-01,"Пермский край"
1945,200322,47,"M",366000,2021-10-01,"Саратовская область"
2397,199783,54,"M",521000,2023-10-01,"Пермский край"
446,197979,46,"M",268000,2023-12-01,"Пензенская область"
1182,197468,53,"M",365000,2023-01-01,"Республика Башкортостан"
1964,197861,58,"M",346000,2023-07-01,"Республика Башкортостан"
2742,201696,39,"F",391000,2021-04-01,"Республика Башкортостан"
5203,197995,53,"M",384000,2021-08-01,"Нижегородская область"
2634,200679,49,"M",240000,2023-05-01,"Кировская область"
4274,202392,52,"M",240000,2022-08-01,"Самарская область"
3840,202158,60,"M",333000,2023-06-01,"Самарская область"
748,198047,37,"M",407000,2021-01-01,"Республика Башкортостан"
3601,201644,52,"M",240000,2021-03-01,"Кировская область"
1314,197528,43,"M",448000,2021-08-01,"Ульяновская область"
2507,202083,40,"M",792000,2023-08-01,"Самарская область"
3127,201519,49,"M",240000,2022-07-01,"Саратовская область"
3795,197819,52,"M",308000,2021-02-01,"Саратовская область"
2973,201530,43,"M",240000,2021-01-01,"Республика Башкортостан"
3057,201201,31,"M",511000,2023-10-01,"Самарская область"
2910,202205,42,"M",414000,2022-05-01,"Удмуртская Республика"
3400,201316,48,"M",705000,2021-03-01,"Пермский край"
5274,199123,51,"M",578000,2023-06-01,"Удмуртская Республика"
5444,200719,35,"M",360000,2021-08-01,"Оренбургская область"
2418,200913,56,"M",240000,2021-01-01,"Нижегородская область"
1498,197802,44,"M",575000,2022-06-01,"Нижегородская область"
4130,201227,50,"M",284000,2022-07-01,"Республика Татарстан"
1330,200822,43,"M",857000,2021-04-01,"Оренбургская область"
2326,201895,45,"M",240000,2022-05-01,"Республика Татарстан"
3457,198980,47,"M",240000,2021-08-01,"Саратовская область"
2912,201805,44,"M",269000,2021-01-01,"Республика Татарстан"
2298,199655,47,"M",240000,2022-02-01,"Удмуртская Республика"
5305,202090,59,"M",430000,2021-10-01,"Нижегородская область"
2423,200666,60,"M",315000,2021-06-01,"Республика Башкортостан"
2880,201464,52,"M",503000,2023-01-01,"Республика Мордовия"
3685,200150,51,"M",296000,2022-08-01,"Пермский край"
5264,198177,41,"M",840000,2021-01-01,"Саратовская область"
4355,198211,45,"M",257000,2021-08-01,"Республика Татарстан"
2607,200125,59,"M",529000,2023-10-01,"Республика Татарстан"
2295,199566,50,"M",449000,2023-06-01,"Саратовская область"
4427,199477,48,"M",460000,2023-05-01,"Республика Башкортостан"
4985,198969,60,"M",592000,2021-04-01,"Республика Башкортостан"
5506,201165,59,"M",240000,2021-12-01,"Пермский край"
2196,200401,44,"F",756000,2022-12-01,"Кировская область"
4259,199528,48,"F",240000,2023-12-01,"Самарская область"
1936,201243,55,"M",937000,2023-04-01,"Ульяновская область"
1387,200464,40,"M",492000,2023-07-01,"Республика Татарстан"
566,200292,53,"M",502000,2023-08-01,"Республика Башкортостан"
5368,198523,54,"M",240000,2021-09-01,"Республика Татарстан"
4357,199463,49,"M",240000,2021-07-01,"Самарская область"
3937,200059,54,"M",916000,2022-01-01,"Удмуртская Республика"
801,200553,55,"F",405000,2021-08-01,"Кировская область"
3291,197846,62,"M",240000,2021-05-01,"Пермский край"
1679,198275,60,"M",898000,2023-03-01,"Республика Башкортостан"
3426,200681,41,"M",282000,2023-05-01,"Республика Мордовия"
5280,200151,45,"M",258000,2021-02-01,"Оренбургская область"
1845,200907,58,"M",240000,2021-08-01,"Республика Татарстан"
2610,199893,46,"M",240000,2022-08-01,"Саратовская область"
1581,198693,57,"M",240000,2021-12-01,"Республика Башкортостан"
3098,197766,59,"M",336000,2021-03-01,"Пермский край"
2646,200098,46,"M",290000,2022-09-01,"Республика Башкортостан"
2035,200100,57,"M",240000,2021-03-01,"Чувашская Республика"
840,199243,60,"M",689000,2022-12-01,"Саратовская область"
2019,200498,47,"M",273000,2023-10-01,"Саратовская область"
379,199659,50,"M",240000,2023-05-01,"Самарская область"
431,202285,46,"M",479000,2023-10-01,"Ульяновская область"
2388,197609,49,"F",259000,2021-09-01,"Республика Татарстан"
565,197570,60,"M",729000,2021-01-01,"Кировская область"
3032,200427,51,"M",274000,2021-04-01,"Нижегородская область"
862,199811,53,"M",336000,2022-08-01,"Пермский край"
2636,198713,57,"F",301000,2023-08-01,"Пермский край"
3515,199484,53,"M",240000,2021-06-01,"Оренбургская область"
2251,200741,57,"M",580000,2023-07-01,"Пермский край"
4783,197757,49,"M",831000,2023-07-01,"Пермский край"
1626,200020,55,"M",240000,2021-08-01,"Пермский край"
1742,199416,55,"M",498000,2021-09-01,"Республика Башкортостан"
4055,201222,45,"M",240000,2023-03-01,"Республика Мордовия"
3879,198809,61,"M",329000,2021-05-01,"Удмуртская Республика"
5209,200687,41,"M",301000,2022-09-01,"Пермский край"
1512,202264,53,"M",1047000,2021-12-01,"Пермский край"
1319,202040,45,"M",285000,2022-10-01,"Кировская область"
1867,198126,32,"M",571000,2022-09-01,"Чувашская Республика"
20,199479,44,"M",1436000,2022-06-01,"Оренбургская область"
5143,201646,55,"M",535000,2022-02-01,"Пермский край"
973,199752,45,"M",464000,2023-03-01,"Оренбургская область"
2925,200272,42,"M",430000,2021-07-01,"Кировская область"
2309,198768,31,"M",591000,2023-02-01,"Оренбургская область"
3881,202287,50,"M",348000,2022-03-01,"Пермский край"
3283,199874,62,"M",293000,2021-01-01,"Оренбургская область"
119,199202,49,"F",309000,2022-05-01,"Пермский край"
2575,200840,51,"M",445000,2023-02-01,"Саратовская область"
1084,201133,48,"M",240000,2021-09-01,"Самарская область"
492,199226,49,"M",511000,2022-09-01,"Республика Башкортостан"
18,198399,60,"M",461000,2023-05-01,"Самарская область"
12,199691,36,"M",389000,2021-10-01,"Саратовская область"
4640,200627,46,"M",240000,2021-11-01,"Республика Мордовия"
1842,201086,49,"M",1180000,2021-09-01,"Нижегородская область"
203,201116,46,"F",240000,2021-07-01,"Республика Татарстан"
2656,197518,53,"M",270000,2023-09-01,"Республика Татарстан"
4726,201747,59,"M",361000,2022-07-01,"Республика Мордовия"
1938,197675,40,"F",393000,2022-07-01,"Республика Башкортостан"
816,198907,44,"M",289000,2021-01-01,"Республика Татарстан"
1263,198932,49,"M",240000,2021-02-01,"Пензенская область"
3979,200314,45,"F",274000,2023-05-01,"Республика Башкортостан"
4205,197639,46,"F",1118000,2023-11-01,"Республика Башкортостан"
910,199671,51,"M",387000,2021-09-01,"Республика Татарстан"
1206,200617,58,"M",267000,2021-12-01,"Кировская область"
4741,198775,54,"M",329000,2022-02-01,"Республика Татарстан"
120,198025,54,"M",472000,2021-07-01,"Чувашская Республика"
69,199796,38,"F",243000,2022-07-01,"Республика Марий Эл"
4533,199339,42,"M",385000,2022-08-01,"Удмуртская Республика"
3079,200114,35,"M",520000,2022-07-01,"Республика Башкортостан"
1579,199601,37,"M",784000,2022-03-01,"Республика Татарстан"
4697,198921,60,"M",676000,2023-09-01,"Республика Мордовия"
2951,200775,59,"M",860000,2021-09-01,"Республика Татарстан"
2963,200394,55,"M",453000,2023-10-01,"Республика Башкортостан"
2694,198281,49,"F",807000,2021-05-01,"Пензенская область"
3868,201848,47,"M",444000,2021-12-01,"Оренбургская область"
4434,199256,35,"M",240000,2023-08-01,"Республика Татарстан"
5187,201340,57,"M",284000,2021-07-01,"Нижегородская область"
1625,202337,45,"F",386000,2021-12-01,"Чувашская Республика"
73,201588,48,"F",240000,2023-04-01,"Республика Татарстан"
2937,201967,46,"M",914000,2021-08-01,"Республика Башкортостан"
5279,201718,62,"M",613000,2021-07-01,"Пермский край"
5457,198296,59,"M",261000,2021-03-01,"Пермский край"
2606,198964,62,"M",426000,2021-08-01,"Самарская область"
3539,200230,59,"M",430000,2022-07-01,"Ульяновская область"
2227,199019,46,"M",578000,2022-05-01,"Республика Башкортостан"
2052,197617,58,"M",550000,2022-08-01,"Пермский край"
997,200835,54,"M",240000,2023-08-01,"Республика Башкортостан"
4955,200908,60,"M",341000,2022-06-01,"Удмуртская Республика"
1584,200736,37,"M",558000,2021-08-01,"Самарская область"
266,198835,56,"M",269000,2022-10-01,"Республика Мордовия"
1074,198400,39,"M",514000,2021-10-01,"Чувашская Республика"
3223,201379,59,"M",340000,2021-06-01,"Саратовская область"
1629,198848,52,"M",894000,2021-12-01,"Саратовская область"
806,201661,50,"M",454000,2022-08-01,"Удмуртская Республика"
2153,199277,53,"M",240000,2021-08-01,"Чувашская Республика"
5297,199870,39,"M",240000,2023-09-01,"Республика Мордовия"
5435,199140,49,"M",547000,2022-02-01,"Республика Башкортостан"
576,197752,50,"M",240000,2021-12-01,"Самарская область"
453,202092,36,"M",377000,2023-07-01,"Саратовская область"
1374,201862,54,"M",266000,2023-04-01,"Нижегородская область"
1300,200876,47,"M",240000,2021-11-01,"Республика Татарстан"
438,201202,36,"M",552000,2023-02-01,"Ульяновская область"
4475,198753,58,"M",253000,2022-02-01,"Самарская область"
1704,197932,56,"M",491000,2022-07-01,"Республика Башкортостан"
3899,198178,54,"M",407000,2023-03-01,"Республика Башкортостан"
2522,199195,48,"M",498000,2021-03-01,"Нижегородская область"
184,198574,51,"M",240000,2023-08-01,"Удмуртская Республика"
4213,198133,58,"M",240000,2021-07-01,"Пермский край"
605,200929,43,"M",313000,2022-03-01,"Чувашская Республика"
270,198403,49,"M",604000,2021-11-01,"Республика Марий Эл"
4572,197565,50,"M",690000,2022-05-01,"Удмуртская Республика"
960,197555,47,"M",491000,2023-07-01,"Республика Татарстан"
4668,201865,50,"M",304000,2023-05-01,"Самарская область"
2384,198834,48,"M",240000,2023-07-01,"Республика Татарстан"
1586,197999,40,"M",254000,2023-03-01,"Республика Башкортостан"
4124,201536,61,"M",240000,2022-06-01,"Нижегородская область"
1595,197997,53,"F",240000,2023-09-01,"Республика Мордовия"
970,199997,49,"F",241000,2023-02-01,"Республика Татарстан"
33,198020,53,"M",305000,2022-09-01,"Саратовская область"
4751,198986,45,"M",240000,2022-07-01,"Республика Башкортостан"
3906,199080,44,"F",278000,2023-02-01,"Удмуртская Республика"
4291,201882,41,"M",256000,2021-05-01,"Республика Башкортостан"
753,198313,48,"M",294000,2021-09-01,"Саратовская область"
1068,198939,56,"M",584000,2021-06-01,"Нижегородская область"
1794,198677,54,"M",542000,2021-10-01,"Республика Татарстан"
4867,201637,52,"M",240000,2023-08-01,"Пермский край"
1488,198623,54,"M",355000,2021-08-01,"Республика Татарстан"
2826,198779,55,"M",497000,2023-07-01,"Удмуртская Республика"
1645,198541,48,"M",356000,2023-07-01,"Саратовская область"
943,198282,40,"M",523000,2022-06-01,"Республика Башкортостан"
2291,199923,57,"M",274000,2023-09-01,"Кировская область"
333,199284,39,"M",674000,2022-03-01,"Оренбургская область"
2541,198321,48,"M",632000,2022-03-01,"Республика Татарстан"
1788,198424,58,"M",311000,2021-06-01,"Самарская область"
2938,201430,54,"M",304000,2023-10-01,"Ульяновская область"
2891,199180,36,"M",568000,2022-05-01,"Оренбургская область"
3901,198155,57,"M",256000,2023-04-01,"Саратовская область"
2152,200649,30,"M",249000,2023-02-01,"Самарская область"
2930,198914,41,"M",594000,2021-06-01,"Пензенская область"
504,199254,49,"M",420000,2023-02-01,"Пензенская область"
4019,198191,51,"M",468000,2021-04-01,"Оренбургская область"
4629,198721,52,"M",818000,2022-03-01,"Республика Мордовия"
197,198322,49,"M",468000,2021-11-01,"Ульяновская область"
3404,200689,50,"M",432000,2021-04-01,"Республика Мордовия"
5336,199701,53,"M",304000,2023-05-01,"Нижегородская область"
1740,202108,43,"M",240000,2022-09-01,"Республика Башкортостан"
3969,201643,52,"M",522000,2021-06-01,"Саратовская область"
65,199786,51,"M",276000,2022-08-01,"Самарская область"
2127,198358,41,"M",5e+05,2022-10-01,"Нижегородская область"
4623,200936,49,"M",346000,2023-07-01,"Кировская область"
5475,198052,51,"M",292000,2021-06-01,"Пензенская область"
5325,201188,49,"M",240000,2023-02-01,"Республика Башкортостан"
1417,201452,46,"M",240000,2021-09-01,"Саратовская область"
2368,199879,54,"M",482000,2022-05-01,"Нижегородская область"
5355,199073,54,"M",364000,2023-09-01,"Пермский край"
563,197687,49,"M",321000,2021-07-01,"Республика Башкортостан"
4042,201944,36,"M",240000,2022-07-01,"Пермский край"
2186,202300,37,"M",296000,2023-01-01,"Республика Татарстан"
1361,201900,61,"M",240000,2021-05-01,"Удмуртская Республика"
4645,202395,49,"F",6e+05,2023-11-01,"Республика Татарстан"
2628,201533,44,"M",322000,2021-03-01,"Нижегородская область"
3831,200045,36,"M",546000,2022-05-01,"Республика Татарстан"
4982,200520,60,"F",363000,2022-01-01,"Пермский край"
640,199397,58,"M",566000,2023-02-01,"Республика Татарстан"
4561,200124,39,"M",240000,2023-06-01,"Республика Башкортостан"
3997,201867,37,"M",240000,2023-03-01,"Самарская область"
1624,200235,52,"M",342000,2021-05-01,"Пермский край"
4167,200949,58,"M",393000,2023-08-01,"Пермский край"
1610,199624,51,"M",6e+05,2021-05-01,"Республика Марий Эл"
673,200806,52,"M",565000,2023-06-01,"Республика Башкортостан"
3109,199212,55,"M",385000,2021-10-01,"Саратовская область"
1840,199486,62,"M",463000,2022-01-01,"Самарская область"
2751,201365,57,"M",240000,2021-04-01,"Пермский край"
902,201450,59,"M",240000,2021-10-01,"Саратовская область"
2805,199960,35,"M",296000,2022-06-01,"Республика Башкортостан"
974,197430,39,"M",464000,2021-08-01,"Саратовская область"
1606,199438,48,"M",699000,2021-10-01,"Нижегородская область"
461,200222,39,"M",282000,2022-03-01,"Саратовская область"
2348,200512,55,"M",295000,2023-03-01,"Республика Татарстан"
2400,201062,53,"M",716000,2023-10-01,"Республика Татарстан"
3709,201961,52,"M",240000,2021-09-01,"Республика Башкортостан"
3025,201520,54,"M",274000,2021-09-01,"Чувашская Республика"
2444,199043,50,"M",539000,2022-08-01,"Республика Татарстан"
1986,200455,58,"M",240000,2023-08-01,"Республика Башкортостан"
1244,201886,59,"M",262000,2021-08-01,"Нижегородская область"
4190,197499,56,"M",550000,2022-04-01,"Чувашская Республика"
3864,201345,52,"M",264000,2023-06-01,"Ульяновская область"
4299,201259,59,"M",285000,2021-12-01,"Самарская область"
4166,200959,62,"F",240000,2021-01-01,"Самарская область"
2121,201413,43,"M",319000,2022-12-01,"Самарская область"
5127,202218,51,"M",284000,2021-02-01,"Республика Татарстан"
2835,199300,52,"F",261000,2021-06-01,"Самарская область"
3521,200813,54,"M",256000,2023-10-01,"Пермский край"
3658,201200,56,"M",555000,2023-05-01,"Пензенская область"
1933,199445,57,"M",395000,2023-06-01,"Саратовская область"
2177,198155,47,"M",863000,2023-02-01,"Саратовская область"
2453,200905,55,"M",617000,2021-05-01,"Республика Башкортостан"
2075,198091,56,"M",240000,2023-03-01,"Самарская область"
1534,199986,52,"M",890000,2023-05-01,"Удмуртская Республика"
2731,197665,41,"M",869000,2023-07-01,"Саратовская область"
3507,200188,43,"F",267000,2022-08-01,"Пермский край"
2776,200562,58,"M",240000,2021-09-01,"Пермский край"
3138,197934,53,"M",240000,2021-07-01,"Пермский край"
2254,201278,44,"M",728000,2022-09-01,"Республика Башкортостан"
4792,202071,44,"M",631000,2021-05-01,"Удмуртская Республика"
4522,202354,57,"M",240000,2023-05-01,"Пензенская область"
5048,201402,62,"M",240000,2022-06-01,"Нижегородская область"
5006,201648,49,"M",240000,2023-03-01,"Самарская область"
4320,202376,56,"M",597000,2022-07-01,"Чувашская Республика"
4585,199800,47,"M",265000,2022-07-01,"Оренбургская область"
439,198379,57,"F",240000,2021-10-01,"Республика Башкортостан"
5413,200674,61,"M",309000,2022-01-01,"Кировская область"
5134,197918,55,"M",240000,2022-05-01,"Республика Башкортостан"
5458,201337,56,"M",496000,2023-05-01,"Саратовская область"
5293,199088,59,"M",664000,2022-01-01,"Самарская область"
3855,200490,52,"M",240000,2023-10-01,"Республика Башкортостан"
1720,202072,57,"M",429000,2021-08-01,"Самарская область"
2450,197587,55,"M",427000,2021-08-01,"Кировская область"
3546,201535,52,"M",1012000,2021-10-01,"Республика Татарстан"
1334,197636,40,"M",240000,2022-03-01,"Самарская область"
1685,197785,55,"M",324000,2023-07-01,"Саратовская область"
1020,201542,55,"M",421000,2022-06-01,"Пермский край"
5428,202387,56,"M",539000,2023-01-01,"Оренбургская область"
548,201462,53,"M",311000,2023-12-01,"Нижегородская область"
558,197838,36,"M",313000,2023-05-01,"Оренбургская область"
2841,201238,52,"M",304000,2023-09-01,"Республика Мордовия"
3360,197481,56,"M",450000,2022-10-01,"Республика Татарстан"
4174,201649,40,"M",371000,2023-02-01,"Пензенская область"
1150,198653,44,"M",860000,2022-12-01,"Нижегородская область"
4125,202215,53,"M",719000,2022-04-01,"Самарская область"
